ID,STANDARD_VALUE,smiles
P47900,1.222,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)C=C(C=C6)F
P47900,-3.653,C1CN(CCC12CN(C3=CC=CC=C23)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F)CCO
P47900,-2.771,CSC1=NC2=C(C(=N1)N)N=CN2C3C4CC4(C(C3O)O)COP(=O)(O)O
P47900,-0.845,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC(=O)NC3=CC=C(C=C3)C4(CC4)C(=O)OC
P47900,-2.898,CNC1=NC(=NC2=C1N=CN2CC(CP(=O)(O)O)CP(=O)(O)O)I
P47900,-1.845,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC3=NN=C(O3)C4=CC=CC=C4
P47900,-1.491,CC(C)(C)C1=CC=C(C=C1)NC(=O)NC2=C(N=CC=C2)OC3=CC=CC(=C3)C(F)(F)F
P47900,-3.23,CCN1CCC2=C(C1)C=CC=C2OC3=C(C=CC=N3)NC(=O)NC4=CC=C(C=C4)OC(F)(F)F
P47900,-1.716,C1C2C1(C(C(C2N3C=NC4=C3N=CN=C4N)O)O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O
P47900,-3.301,CCC1CC(C2=CC=CC=C2N1C(=O)C3=CC=C(C=C3)OC)NC4=CC=CC=C4
P47900,-0.708,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)C(F)(F)F)O)C4=CC=CC=C4NC(=O)NC5=CC(=C(C=C5)F)F
P47900,-4.477,C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(CP(=O)([O-])OP(=O)(CP(=O)([O-])OCC4C(CC(O4)N5C=NC6=C5N=CN=C6N)O)[O-])[O-])O
P47900,-1.568,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC(=O)NC3=C(C=C(C=C3)C4=CC=C(C=C4)CN(C)C)F
P47900,-1.161,CC(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)C(F)(F)F)O)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)C=C(C=C6)Cl
P47900,-2.683,CC(C)(C)CN1CCC2(CC1)CN(C3=C2C=NC=C3)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F
P47900,-1.386,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC5=NN=C(S5)C6=CN=CC=C6
P47900,-1.447,CC(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC(=O)NC3=C(C=C(C=C3)F)F
P47900,-2.886,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(N=C2N)Cl
P47900,-3.905,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC(=O)NC3=CC=C(C=C3)N4CCNCC4
P47900,-1.415,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)C(F)(F)F)O)C4=CC=CC=C4NC5=NN=C(S5)C6=CC=C(C=C6)C(C)(C)C
P47900,-2.535,CC1=CC=C(C=C1)C2=CN=C(C=C2)NC3=CC=CC=C3N4CC5(CCN(CC5)CC(C)(C)C)C6=C(C=CC(=C64)O)Cl
P47900,-0.903,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC3=NC(=C(S3)C4=CC=C(C=C4)OC)C(F)(F)F
P47900,-3.24,CNC1=NC(=NC2=C1N=CN2C3CC(C4(C3C4)COP(=O)(O)O)OP(=O)(O)O)C(=O)N
P47900,-2.146,CC1=NN(C(=C1)OC2=C(C=CC=N2)NC(=O)NC3=CC=C(C=C3)OC(F)(F)F)C4=CC=CC=C4Cl
P47900,-2.629,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C5N=CN=C6N)O)O)O)O
P47900,-2.314,CNC1=NC(=NC2=C1N=CN2C3CC(C(O3)COP(=O)(O)O)OP(=O)(O)O)Cl
P47900,-2.233,C1=CC=C(C=C1)NC(=O)NC2=C(N=CC=C2)OC3=CC=CC(=C3)C(F)(F)F
P47900,-2.064,CC1(CN(C2=C(C=CC(=C21)C3=CC=C(C=C3)C(F)(F)F)O)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F)C
P47900,-1.991,C1CN(CCC1C2=CC=CC=C2OC3=C(C=CC=N3)NC(=O)NC4=CC=C(C=C4)OC(F)(F)F)CC5=CC=CC=C5
P47900,-4.613,C1C(OC(CN1CCP(=O)(O)O)N2C=NC3=C2N=CN=C3N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O
P47900,-0.519,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC5=NN=C(S5)C6=CC=C(C=C6)C(F)(F)F
P47900,-1.041,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C5N=CN=C6N)O)O)O)O
P47900,-3.043,CC1(CCN(C2=CC=CC=C21)C3=CC=CC=C3NC(=O)NC4=CC=C(C=C4)OC(F)(F)F)C
P47900,-1.519,CC(C)(C)C1=CC(=CC=C1)OC2=C(C=CC=N2)NC(=O)NC3=C(C=C(C=C3)F)F
P47900,-1.346,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=C(C=CC(=C4)F)NC(=O)NC5=NC6=C(S5)C=C(C=C6)F
P47900,-0.978,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)CCCC6
P47900,-0.898,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C(=CC(=C23)Cl)F)O)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)C=C(C=C6)F
P47900,-2.991,CCSC1=NC2=C(C(=N1)NC)N=CN2C3CC(C(O3)COP(=O)(O)O)OP(=O)(O)O
P47900,-2.559,CNC1=NC(=NC2=C1N=CN2C3CC(C(O3)COP(=O)(O)O)OP(=O)(O)O)SC
P47900,-1.756,CC(C)(C)C1C2=C(CN1C)C=CC=C2OC3=C(C=CC=N3)NC(=O)NC4=CC=C(C=C4)OC(F)(F)F
P47900,-0.857,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)F)O)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)C(F)(F)F
P47900,0.398,CSC1=NC2=C(C(=N1)N)N=CN2C3C4CC4(C(C3O)O)COP(=O)(O)OP(=O)(O)O
P47900,-3.204,CC1=C(C=C(C=C1)NC(=O)NC2=CC=CC3=C2OC(=C3)C4=CC=CC=C4C(C)C)C(F)(F)F
